bundesland;wahlberechtigte;wahler;wahlbeteiligung
Baden-Wurttemberg;7711531;5997317;77.8
Bayern;9517664;7608980;79.9
Berlin;2468919;1856903;75.2
Brandenburg;2048844;1549464;75.6
Bremen;459749;330431;71.9
Hamburg;1298792;1011044;77.8
Hessen;4383047;3340639;76.2
Mecklenburg-Vorpommern;1314435;935040;71.1
Niedersachsen;6105381;4563142;74.7
Nordrhein-Westfalen;13040267;9960984;76.4
Rheinland-Pfalz;3053335;2357021;77.2
Saarland;755223;583963;77.3
Sachsen;3253667;2488954;76.5
Sachsen-Anhalt;1789775;1214761;67.9
Schleswig-Holstein;2272717;1776145;78.2
Thuringen;1707726;1279720;74.9
